Airline,ORG,DES,Aircraft_Family,Aircraft_Type,June_2019_Flights,June_2019_Seats,June_2019_ASMs,June_2018_Flights,June_2018_Seats,June_2018_ASMs,June_Diff_Flights,June_Diff_Seats,June_Diff_ASMs,June_Rate_Flights,June_Rate_Seats,June_Rate_ASMs
AC,LGA,YUL,E-Jet,E-175,151,"11,476","3,706,748",244,"18,544","5,989,712",-93,"-7,068","-2,282,964",-38.10%,-38.10%,-38.10%
WS,YYZ,YYG,B737 Misc,B737-Max 8 Passenger,7,"1,218","1,007,286",0,0,0,7,"1,218","1,007,286",,,
AC,YSB,YYZ,DeHavilland Dash-8,DHC-8-400,0,0,0,93,"7,254","1,530,594",-93,"-7,254","-1,530,594",-100.00%,-100.00%,-100.00%
AC,YUL,LGA,E-Jet,E-175,151,"11,476","3,706,748",244,"18,544","5,989,712",-93,"-7,068","-2,282,964",-38.10%,-38.10%,-38.10%
AC,YUL,YOW,DeHavilland Dash-8,DHC-8-400,0,0,0,93,"7,254","681,876",-93,"-7,254","-681,876",-100.00%,-100.00%,-100.00%
AC,YUL,YYT,E-Jet,E-175,0,0,0,93,"7,068","7,131,612",-93,"-7,068","-7,131,612",-100.00%,-100.00%,-100.00%
AC,YYT,YUL,E-Jet,E-175,0,0,0,93,"7,068","7,131,612",-93,"-7,068","-7,131,612",-100.00%,-100.00%,-100.00%
AC,YYZ,YQB,E-Jet,E-175,0,0,0,93,"7,068","3,215,940",-93,"-7,068","-3,215,940",-100.00%,-100.00%,-100.00%
AC,YYZ,YSB,DeHavilland Dash-8,DHC-8-400,0,0,0,93,"7,254","1,530,594",-93,"-7,254","-1,530,594",-100.00%,-100.00%,-100.00%
AC,YUL,YYZ,A320,A320,333,"48,618","15,314,670",433,"63,218","19,913,670",-100,"-14,600","-4,599,000",-23.10%,-23.10%,-23.10%
AC,YHZ,YQY,DeHavilland Dash-8,DHC-8-300,0,0,0,102,"5,100","969,000",-102,"-5,100","-969,000",-100.00%,-100.00%,-100.00%
AC,YQY,YHZ,DeHavilland Dash-8,DHC-8-300,0,0,0,102,"5,100","969,000",-102,"-5,100","-969,000",-100.00%,-100.00%,-100.00%
AC,YYZ,YOW,E-Jet,E-190,309,"29,973","6,773,898",414,"40,158","9,075,708",-105,"-10,185","-2,301,810",-25.40%,-25.40%,-25.40%
AC,YOW,YYZ,E-Jet,E-190,308,"29,876","6,751,976",414,"40,158","9,075,708",-106,"-10,282","-2,323,732",-25.60%,-25.60%,-25.60%
AC,YUL,YQM,DeHavilland Dash-8,DHC-8-400,18,"1,404","617,760",124,"9,672","4,255,680",-106,"-8,268","-3,637,920",-85.50%,-85.50%,-85.50%
WS,CUN,YYZ,B737 Misc,B737-Max 8 Passenger,6,"1,044","1,686,060",0,0,0,6,"1,044","1,686,060",,,
AC,YYZ,SFO,B737 Misc,B737-Max 8 Passenger,0,0,0,106,"17,914","40,485,640",-106,"-17,914","-40,485,640",-100.00%,-100.00%,-100.00%
AC,YQM,YUL,DeHavilland Dash-8,DHC-8-400,17,"1,326","583,440",124,"9,672","4,255,680",-107,"-8,346","-3,672,240",-86.30%,-86.30%,-86.30%
AC,YYF,YVR,DeHavilland Dash-8,DHC-8-300,0,0,0,110,"5,500","896,500",-110,"-5,500","-896,500",-100.00%,-100.00%,-100.00%
AC,YVR,YYF,DeHavilland Dash-8,DHC-8-300,0,0,0,111,"5,550","904,650",-111,"-5,550","-904,650",-100.00%,-100.00%,-100.00%
AC,YYZ,YWG,A320,A320,89,"12,994","12,162,384",203,"29,638","27,741,168",-114,"-16,644","-15,578,784",-56.20%,-56.20%,-56.20%
AC,YFC,YYZ,DeHavilland Dash-8,DHC-8-400,0,0,0,115,"8,970","5,929,170",-115,"-8,970","-5,929,170",-100.00%,-100.00%,-100.00%
AC,YYZ,YFC,DeHavilland Dash-8,DHC-8-400,0,0,0,115,"8,970","5,929,170",-115,"-8,970","-5,929,170",-100.00%,-100.00%,-100.00%
AC,MDT,YYZ,Beechcraft,Beech 1900D Airliner,0,0,0,117,"2,106","593,892",-117,"-2,106","-593,892",-100.00%,-100.00%,-100.00%
